feature,importance
GarageCars,0.14074941
OverallQual,0.11621116
ExterQual_TA,0.102264725
GarageFinish_Unf,0.09840921
FullBath,0.042757735
MSZoning_RM,0.037417594
GrLivArea,0.032869462
KitchenQual_TA,0.032146454
FireplaceQu_None,0.022714917
Alley_None,0.02109143
Fireplaces,0.016356213
Neighborhood_Edwards,0.014560208
SaleCondition_Partial,0.0140697295
YearBuilt,0.013191439
BsmtQual_Gd,0.013030562
TotalBsmtSF,0.012610679
GarageCond_TA,0.012501063
2ndFlrSF,0.010661933
1stFlrSF,0.010190814
BsmtFinSF1,0.00943217
CentralAir_Y,0.009325923
GarageType_Detchd,0.008815779
GarageType_Attchd,0.008616807
YearRemodAdd,0.008441616
TotRmsAbvGrd,0.008239894
KitchenAbvGr,0.007961604
PoolArea,0.0071262904
BsmtFinType1_GLQ,0.006699188
SaleType_New,0.006698113
Condition1_Feedr,0.0055062547
GarageArea,0.0048825853
LandContour_Low,0.00477186
Neighborhood_Crawfor,0.0041976552
LotArea,0.004114967
BsmtExposure_No,0.0037837073
BsmtExposure_Gd,0.003729465
OpenPorchSF,0.0034871178
OverallCond,0.0034830873
Neighborhood_OldTown,0.0033573068
Exterior1st_BrkFace,0.0031361566
BedroomAbvGr,0.002951865
Functional_Typ,0.0029070117
MSZoning_RL,0.0028425527
BsmtFullBath,0.0028341664
HalfBath,0.002610533
ScreenPorch,0.0025286365
LandContour_HLS,0.0024830357
GarageYrBlt,0.0023008287
LotFrontage,0.002263744
Condition1_Norm,0.002233736
MiscFeature_Shed,0.0021474836
HeatingQC_Fa,0.0020451443
LotConfig_CulDSac,0.0017569556
ExterCond_TA,0.0017356633
Neighborhood_StoneBr,0.0017068187
LandContour_Lvl,0.001671787
RoofMatl_CompShg,0.0015493513
Condition2_PosN,0.0015001907
GarageType_CarPort,0.0014993785
MSZoning_FV,0.0013721726
PoolQC_None,0.0013682578
MasVnrType_None,0.0013529311
Neighborhood_NridgHt,0.0013462761
LotShape_Reg,0.0013129101
WoodDeckSF,0.0012896087
GarageFinish_RFn,0.0012695111
Neighborhood_ClearCr,0.0012390277
MSSubClass,0.0012281786
Functional_Sev,0.0012137825
BsmtCond_Gd,0.0011097549
HouseStyle_1Story,0.0011037488
BsmtCond_TA,0.0010487358
MasVnrArea,0.001037945
BsmtExposure_Mn,0.0010029585
SaleCondition_Family,0.00096175616
Neighborhood_Somerst,0.00091048545
SaleCondition_Normal,0.0008770809
Neighborhood_BrkSide,0.00085406145
Neighborhood_NoRidge,0.0008468299
BsmtUnfSF,0.00084359787
KitchenQual_Gd,0.000819527
Neighborhood_Timber,0.000812736
LandSlope_Mod,0.00080366345
3SsnPorch,0.0007802647
BsmtFinSF2,0.0007754228
RoofStyle_Gable,0.00075079687
Fence_None,0.0007503857
Neighborhood_NAmes,0.00074161176
MoSold,0.00073519174
Condition1_RRAe,0.0007236109
BsmtFinType1_Rec,0.00069842057
Exterior2nd_MetalSd,0.0006958314
